filename	instrument	fs	bpm
Queen__Another_One_Bites_The_Dust.6_instr0_ts17.45_te34.77_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts34.91_te52.23_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts52.36_te69.68_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts69.82_te87.14_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts87.27_te104.59_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts104.73_te122.05_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts122.18_te139.50_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts139.64_te156.95_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts157.09_te174.41_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts174.55_te191.86_fs7.33.npz	0	7.33	110.00
Queen__Another_One_Bites_The_Dust.6_instr0_ts192.00_te209.32_fs7.33.npz	0	7.33	110.00
Queen__Bicycle_Race.1_instr0_ts11.97_te23.52_fs11.00.npz	0	11.00	165.00
Queen__Bicycle_Race.1_instr0_ts27.27_te38.89_fs10.93.npz	0	10.93	164.00
Queen__Bicycle_Race.1_instr0_ts106.64_te117.78_fs11.40.npz	0	11.40	171.00
Queen__Bicycle_Race.1_instr0_ts137.62_te148.89_fs11.27.npz	0	11.27	169.00
Queen__Bicycle_Race.1_instr0_ts165.90_te177.24_fs11.20.npz	0	11.20	168.00
Queen__Bicycle_Race_instr0_ts11.97_te23.52_fs11.00.npz	0	11.00	165.00
Queen__Bicycle_Race_instr0_ts27.27_te38.89_fs10.93.npz	0	10.93	164.00
Queen__Bicycle_Race_instr0_ts106.64_te117.78_fs11.40.npz	0	11.40	171.00
Queen__Bicycle_Race_instr0_ts137.62_te148.89_fs11.27.npz	0	11.27	169.00
Queen__Bicycle_Race_instr0_ts165.90_te177.24_fs11.20.npz	0	11.20	168.00
Queen__Bohemian_Rhapsody.1_instr1_ts44.19_te71.02_fs4.73.npz	1	4.73	71.00
Queen__Bohemian_Rhapsody.1_instr1_ts71.23_te98.06_fs4.73.npz	1	4.73	71.00
Queen__Bohemian_Rhapsody.1_instr1_ts98.27_te125.10_fs4.73.npz	1	4.73	71.00
Queen__Bohemian_Rhapsody.1_instr1_ts125.32_te152.15_fs4.73.npz	1	4.73	71.00
Queen__Bohemian_Rhapsody.1_instr1_ts152.36_te179.19_fs4.73.npz	1	4.73	71.00
Queen__Bohemian_Rhapsody.1_instr1_ts211.45_te236.85_fs5.00.npz	1	5.00	75.00
Queen__Bohemian_Rhapsody.1_instr1_ts253.52_te267.42_fs9.13.npz	1	9.13	137.00
Queen__Bohemian_Rhapsody.1_instr1_ts267.53_te281.44_fs9.13.npz	1	9.13	137.00
Queen__Bohemian_Rhapsody.1_instr1_ts281.55_te295.45_fs9.13.npz	1	9.13	137.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts0.00_te15.88_fs8.00.npz	1	8.00	120.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts16.00_te31.88_fs8.00.npz	1	8.00	120.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts32.00_te47.88_fs8.00.npz	1	8.00	120.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts96.00_te111.88_fs8.00.npz	1	8.00	120.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts112.00_te127.88_fs8.00.npz	1	8.00	120.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts160.00_te175.88_fs8.00.npz	1	8.00	120.00
Gibson_Brothers__Que_sera_mi_vida_(If_You_Should_Go)_instr1_ts176.00_te191.88_fs8.00.npz	1	8.00	120.00
